cohort_code,cohort_label,dimension,dimension_label,family,direction_semantics,n,mean,sd,min,p05,p25,median,p75,p95,max
V1,AIM v1.5 additions,literature,Literature load,context,context,3359,2.063590354272105,0.27475534643627625,2.0,2.0,2.0,2.0,2.0,2.5,7.0
V1,AIM v1.5 additions,collection_prior,Collection-barrier prior,context,context,3359,6.147305745757666,0.7010060661395698,4.8,4.8,6.0,6.0,6.0,8.0,8.0
V2,Oberwolfach v1.6 additions,D,Intrinsic difficulty,intrinsic,burden,6673,5.831440131874719,0.537734369784882,3.4,4.9,5.5,5.9,6.1,6.8,8.1
V2,Oberwolfach v1.6 additions,CG,Conceptual gap,intrinsic,burden,6673,2.4862130975573207,0.2984350682381807,1.0,2.0,2.5,2.5,2.5,3.0,4.0
V2,Oberwolfach v1.6 additions,RG,Route gap,intrinsic,burden,6673,2.3129776712123484,0.29307968794879163,1.5,2.0,2.0,2.5,2.5,2.5,3.5
V2,Oberwolfach v1.6 additions,TD,Technical depth,intrinsic,burden,6673,2.7244118087816576,0.49354242993718545,1.5,2.0,2.5,2.5,3.0,3.5,4.0
V2,Oberwolfach v1.6 additions,KB,Known barrier,intrinsic,burden,6673,1.4579649333133524,0.4643235913145038,1.0,1.0,1.0,1.5,1.5,2.5,3.5
V2,Oberwolfach v1.6 additions,SS,Search scale,intrinsic,burden,6673,2.858834107597782,0.3184291784529402,1.5,2.5,2.5,3.0,3.0,3.0,4.0
V2,Oberwolfach v1.6 additions,AI_adj,AI-relative adjustment,protocol,burden,6673,-0.10040461561516559,0.7192673075865923,-3.0,-1.0,-0.5,0.0,0.5,1.5,2.5
V2,Oberwolfach v1.6 additions,AI_D,AI difficulty,protocol,burden,6673,5.730256256556271,1.100536798237466,0.9,4.2,5.1,5.6,6.4,7.6,10.0
V2,Oberwolfach v1.6 additions,H,Human-effort prior,context,context,6673,3.6051251311254306,0.7616505883817728,2.0,3.0,3.0,4.0,4.0,5.0,9.0
V2,Oberwolfach v1.6 additions,X,Exposure,context,context,6673,3.0038962985164095,0.0881962673276459,3.0,3.0,3.0,3.0,3.0,3.0,5.0
V2,Oberwolfach v1.6 additions,T,100-hour tractability,protocol,favorable,6606,5.316227671813503,1.1082513723210838,0.0,3.0,5.0,5.0,6.0,7.0,10.0
V2,Oberwolfach v1.6 additions,V_true,Verification if true,execution,burden,6673,5.567241120935113,1.1298157590668991,1.9,3.0,5.2,5.7,6.1,7.0,9.0
V2,Oberwolfach v1.6 additions,V_false,Verification if false,execution,burden,6673,5.333193466207104,0.7530093151232189,2.4,4.4,4.9,5.2,5.7,6.5,9.0
V2,Oberwolfach v1.6 additions,F,Formalization burden,execution,burden,6673,5.598921025026226,1.3598226136796256,2.2,3.5,4.8,5.5,6.5,8.0,10.0
V2,Oberwolfach v1.6 additions,P,Prerequisite preparation,execution,burden,6673,6.529731754832908,1.0917090821277309,4.4,5.0,5.7,6.4,7.1,8.5,10.0
V2,Oberwolfach v1.6 additions,B,Breadth,execution,burden,6673,1.848344073130526,0.9384956105876787,1.0,1.0,1.0,2.0,2.0,4.0,5.0
V2,Oberwolfach v1.6 additions,L,Tool leverage,execution,favorable,6673,4.814506219091863,1.1198353203855287,0.2,3.2,4.5,4.5,5.3,6.8,8.8
V2,Oberwolfach v1.6 additions,ambiguity,Ambiguity,context,burden,6673,1.5273340326689644,1.0104901130893147,0.8,0.8,0.8,1.5,1.5,3.5,8.7
V2,Oberwolfach v1.6 additions,literature,Literature load,context,context,6673,3.060737299565412,0.3215792985823238,2.5,2.8,2.8,3.0,3.3,3.5,7.3
V2,Oberwolfach v1.6 additions,collection_prior,Collection-barrier prior,context,context,6673,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
